event,mean_CORR,err_CORR,mean_RPR,err_RPR
12.0,0.13851652360654496,0.00037900774692517557,2.704220289331361,0.0188656680330396
13.0,0.1399713532912995,0.0004099778850058883,2.776299109708176,0.018399332604441137
14.0,0.1372823964996647,0.0003980381147623798,2.7625454772886138,0.0187467599169238
15.0,0.1641999902140203,0.0009288710515904858,3.1757223014530984,0.018514564446948534
16.0,0.1764752213117086,0.001099208734279914,3.4291676869649605,0.019365390501526147
17.0,0.17475054652836214,0.0010575306529498941,3.3751972239134016,0.01864195658385376
18.0,0.17829361277447284,0.0010548318274177897,3.7468514226980805,0.02277268530453054
19.0,0.18459084407037052,0.0012335623868385281,3.713840789216151,0.0211204193235726
20.0,0.1620254474249713,0.0009089722451882857,3.075237830587804,0.01886452596210734
21.0,0.17995051294403863,0.0011349521735056205,3.9283465699704516,0.026351675449732256
22.0,0.1957086332903386,0.0012673330418642172,3.680682568585789,0.01711036043493137
23.0,0.17525806628321275,0.0009414416114180347,3.6640212839176862,0.016968161212668652
24.0,0.16911211414612046,0.0009601776672776751,3.7297451261694494,0.023442503855024565
25.0,0.16214852958742104,0.0008720481741966972,3.2980588877052845,0.02016983644148851
26.0,0.16557483950568191,0.000959791191621168,3.014497956110013,0.019214047971511584
27.0,0.16577034900367932,0.001051757771813978,3.549960230818509,0.022608168993936213
28.0,0.16408207841191286,0.0008880609629812802,3.9666067243081162,0.024125088245824173
29.0,0.1667311073003003,0.0009524452292217844,3.7717930850486012,0.024889373900635395
30.0,0.15522114199749,0.0007367836994442613,3.386362708720969,0.01780229665640834
31.0,0.15013189450779799,0.000692267773015545,2.960269596525858,0.019439223177911195
32.0,0.18047519030490375,0.0011062148274943065,3.535043060342469,0.018880359483496062
33.0,0.12842886982559168,0.00036369481431808455,3.124013835620801,0.01995039766124913
34.0,0.17103047988015357,0.0010181401055625104,3.6531659992704313,0.020285685145935345
35.0,0.15611601697207542,0.0008092020945002076,3.5947137547331605,0.019990973465616693
36.0,0.1404687621751765,0.0004488851308010867,2.7353465427819503,0.021909643865464856
37.0,0.174277341848814,0.0010708045554879634,3.39849004041042,0.01956704556186156
38.0,0.12942532049021613,0.00038626477989940714,3.2589833067582283,0.02105710780315409
39.0,0.13155539647357836,0.0003977282173458295,3.256687503354316,0.021070329998698078
40.0,0.15617416491666808,0.0008935614712414628,3.0041023081998466,0.021787197586377666
41.0,0.18358619071192403,0.001183516299788983,3.3773759614081436,0.01965950101033613
42.0,0.1744054665200118,0.0011123128783715036,3.278716660638867,0.021084441691566702
43.0,0.15770651450409756,0.0008899041319855783,3.062218967745096,0.02193357411731561
44.0,0.1627898939191147,0.000942537757372601,3.2960895284308367,0.022254890792175845
45.0,0.15784101032989878,0.0008371431523493909,3.208812607669525,0.022236215492029022
46.0,0.13768865870143682,0.0005108277566449441,2.8833629382557637,0.023601315315913318
47.0,0.17648839599353536,0.0011290560095280633,3.1829552473118454,0.021824312707934345
48.0,0.13224728203795094,0.0004069985793820931,3.0253896830287936,0.024031692807326505
49.0,0.16009777573138387,0.0008809701517933678,3.850909278926824,0.022696236790911734
50.0,0.13019631975319376,0.0003870845695240716,3.12911370639477,0.023653440297108672
51.0,0.17151871252323844,0.001154433357446722,3.2382667306698054,0.02375271709366003
52.0,0.16874336126709277,0.0011133331298781698,3.1423412559913606,0.023930787470289885
53.0,0.14237829672709593,0.0006418452842379934,2.94784399093504,0.025494225595349744
54.0,0.14453985175132197,0.0006514611801144474,2.991904757101149,0.02575069586437952
55.0,0.15381121446974477,0.0009470810907122502,3.066465947527244,0.025827495200735455
56.0,0.1565611612763948,0.000880661253333162,3.1978977552091816,0.025226903956345487
57.0,0.13045435652324178,0.00040276323637240146,3.0681359034205644,0.026863648224218453
58.0,0.13036156787773068,0.00042063117633928663,3.1770787857044254,0.027371336546455294
59.0,0.1850261933236193,0.0014410884484316712,3.505714839032575,0.02604911669812188
60.0,0.18663532301259655,0.0016519805070168943,3.5901507622595052,0.027509904734974392
61.0,0.1710739284950397,0.0014320782589531357,3.445818022664278,0.02735927587726604
62.0,0.16498304450133225,0.0011366463058849919,3.2976409996075207,0.028092766978855085
63.0,0.1578040106007769,0.0011295017485282,3.069365032487165,0.029781161511906164
64.0,0.16147475852730844,0.0011516575314059827,3.2265821622446147,0.029789723955060514
65.0,0.1646046769516284,0.0011595026731591439,3.385834809034476,0.02926259269415554
66.0,0.15638765327155918,0.0010488517076252147,3.1491405751386843,0.030862158899764635
67.0,0.15466807316710865,0.0010392422074755573,3.0458951739691957,0.0324798686788159
68.0,0.13836935859613542,0.0006256190307773619,2.943073795009866,0.0345289995842844
69.0,0.13552692512744705,0.0007388706887308327,3.0521435573435305,0.0341826610999064
70.0,0.13878917187857767,0.0006697287124481552,3.063913383436459,0.03496075425944883
71.0,0.1318080267206587,0.0004911649508561583,3.032041889000051,0.036311389949856124
72.0,0.14956134940666735,0.0008727037561551365,3.1593693707995048,0.035660093167308435
73.0,0.1530447986826353,0.000909547100413484,3.136090271867597,0.03675109226951382
74.0,0.13498282654560012,0.0006223041320931078,3.113094484474872,0.03831400758567823
75.0,0.14367722146139353,0.000775539270097677,3.692966479051324,0.03669693797157026
76.0,0.15325471105776958,0.0012244371654095854,3.398541409614412,0.03763866104433241
77.0,0.18836670378835427,0.001605311072063593,3.5860673650446024,0.03496087292540877
78.0,0.15979120318522633,0.0013111742908723377,3.510898706795213,0.03857318116027436
79.0,0.15736191043226774,0.0010939491781523693,3.6338753014580556,0.0393515526816013
80.0,0.162871585313889,0.0015316872080296793,3.7292471692553892,0.03913498674577357
81.0,0.18010650154095795,0.0020136511703360356,4.395275797269894,0.04043396825419886
82.0,0.19573560864524198,0.002148512624445939,4.306288037436558,0.03976917745692291
83.0,0.2012917140703954,0.00243633622449419,4.986801410922615,0.05504912664010825
84.0,0.19497125968411225,0.0021331376629401054,5.116597223658684,0.06970132152855535
85.0,0.1982441618642097,0.002235430614727372,4.718879011396669,0.05509023637699112
86.0,0.20628071163106138,0.0024053406843906593,4.887569953355881,0.059526185678770514
87.0,0.17679604427606632,0.0019006806058391378,4.372305194940265,0.07895129333173714
88.0,0.1851401476293138,0.0020060139812582496,4.320293759823222,0.040042944172335324
89.0,0.19355566032284205,0.0027225529618609247,4.2561860402750575,0.045598324033197336
